Time,Frequency,Note
0.0,,
1.0216780045351475,81.83602905273438,
2.043356009070295,487.5782775878906,
3.0650340136054424,484.6813049316406,
4.08671201814059,129.55047607421875,
5.108390022675737,83.39944458007812,A#2
6.130068027210885,440.4303283691406,B1
7.151746031746032,83.18450164794922,E4
8.17342403628118,1325.92919921875,E1
9.195102040816327,109.36380004882812,E1
10.216780045351474,658.5032348632812,A1
11.23845804988662,140.0377960205078,A1
12.26013605442177,138.0497283935547,A1
13.281814058956916,440.0865783691406,B1
14.303492063492063,121.69038391113281,D#2
15.32517006802721,329.2074279785156,B1
16.34684807256236,439.7486572265625,D#2
17.368526077097506,326.4314270019531,A2
18.390204081632653,658.3370361328125,A2
19.4118820861678,326.8059387207031,A2
20.433560090702947,657.654052734375,A2
21.455238095238094,622.4298706054688,A2
22.47691609977324,206.35183715820312,A2
23.49859410430839,193.97927856445312,C#4
24.52027210884354,624.0409545898438,C#4
25.541950113378686,310.8026428222656,E4
26.563628117913833,236.66171264648438,E2
27.58530612244898,310.70404052734375,E2
28.606984126984127,326.9893798828125,B3
29.628662131519274,327.7320251464844,B2
30.65034013605442,218.8428955078125,A3
31.672018140589568,216.44505310058594,E2
32.69369614512472,623.4423828125,B3
33.715374149659866,181.45135498046875,B3
34.73705215419501,125.08218383789062,F#3
35.75873015873016,207.52381896972656,G#2
36.78040816326531,204.47116088867188,D#3
37.802086167800454,622.9682006835938,C#4
38.8237641723356,211.82846069335938,D#4
39.84544217687075,194.4159393310547,G#3
40.867120181405895,204.34095764160156,B2
41.88879818594104,110.14830780029297,B3
42.91047619047619,434.57708740234375,B2
43.932154195011336,667.5806274414062,E4
44.95383219954648,369.0555114746094,A3
45.97551020408163,622.3136596679688,E4
46.99718820861678,191.49215698242188,B3
48.01886621315193,124.68335723876953,F#3
49.04054421768708,326.9317932128906,E3
50.062222222222225,278.55902099609375,D#3
51.08390022675737,187.50344848632812,C#4
52.10557823129252,317.3130798339844,E4
53.127256235827666,1890.6875,E2
54.14893424036281,314.3356628417969,F#3
55.17061224489796,626.1886596679688,B3
56.19229024943311,438.211669921875,B3
57.213968253968254,335.0242919921875,A3
58.2356462585034,1061.0755615234375,E2
59.25732426303855,367.94976806640625,E2
60.279002267573695,372.5242614746094,B3
61.30068027210884,372.97418212890625,F#4
62.32235827664399,1553.2122802734375,A3
63.344036281179136,1613.0120849609375,A#2
64.36571428571429,327.8595886230469,E2
65.38739229024944,1410.2872314453125,B4
66.40907029478458,373.2696228027344,G#4
67.43074829931973,122.47510528564453,B3
68.45242630385488,684.3912963867188,A4
69.47410430839003,555.655517578125,F#4
70.49578231292517,528.4664306640625,F#2
71.51746031746032,551.1411743164062,F#3
72.53913832199547,280.69390869140625,F#2
73.56081632653061,832.3214111328125,G#3
74.58249433106576,365.6103515625,C#4
75.60417233560091,826.748291015625,F#3
76.62585034013605,1655.656005859375,G#4
77.6475283446712,859.3357543945312,E1
78.66920634920635,82.90978240966797,E1
79.6908843537415,882.4935302734375,F#2
80.71256235827664,814.8281860351562,B1
81.73424036281179,623.0079345703125,F#3
82.75591836734694,81.2303466796875,B1
83.77759637188208,109.52116394042969,A1
84.79927437641723,109.49717712402344,A1
85.82095238095238,109.33161163330078,A1
86.84263038548752,839.223876953125,C#2
87.86430839002267,1129.7506103515625,C#2
88.88598639455782,142.49496459960938,B1
89.90766439909297,138.56304931640625,C#2
90.92934240362811,139.00997924804688,E1
91.95102040816326,201.76243591308594,E1
92.9726984126984,209.3505859375,E1
93.99437641723355,1013.4772338867188,F#1
95.0160544217687,415.8725891113281,F#1
96.03773242630386,92.26679992675781,F#1
97.05941043083901,109.62979888916016,A1
98.08108843537416,105.63006591796875,A1
99.1027664399093,219.0489501953125,A1
100.12444444444445,104.03509521484375,B1
101.1461224489796,560.6682739257812,B1
102.16780045351474,586.401611328125,A1
103.18947845804989,137.67559814453125,B1
104.21115646258504,138.27557373046875,C#2
105.23283446712018,1233.2802734375,C#2
106.25451247165533,165.83798217773438,C#2
107.27619047619048,223.9237823486328,A1
108.29786848072563,759.1576538085938,A1
109.31954648526077,632.853271484375,A2
110.34122448979592,109.05522155761719,C#3
111.36290249433107,890.2493896484375,F#2
112.38458049886621,971.8186645507812,C#3
113.40625850340136,209.81060791015625,E3
114.42793650793651,206.45172119140625,B2
115.44961451247165,238.05905151367188,B2
116.4712925170068,115.97830963134766,F#2
117.49297052154195,564.6892700195312,A2
118.5146485260771,556.77783203125,A2
119.53632653061224,103.94444274902344,A2
120.55800453514739,628.6436157226562,G#2
121.57968253968254,289.9788818359375,G#2
122.60136054421768,186.2225799560547,G#2
123.62303854875283,1348.4755859375,C#3
124.64471655328798,325.68890380859375,C#3
125.66639455782312,1697.0540771484375,C#3
126.68807256235827,1777.0386962890625,D#3
127.70975056689342,93.0013427734375,B2
128.73142857142858,109.47405242919922,B2
129.75310657596373,1897.0662841796875,F#2
130.77478458049887,1678.3499755859375,A2
131.79646258503402,1748.524169921875,A2
132.81814058956917,1489.219970703125,E2
133.83981859410432,415.5463562011719,G#2
134.86149659863946,264.85052490234375,G#2
135.8831746031746,123.4633560180664,A1
136.90485260770976,655.123779296875,C#1
137.9265306122449,668.4368286132812,C#1
